C3.Heightxcmx,C4.Weightxkgx,D1.TSV,D5.Clothing Insulation (clo),D6.Metabolic Rate (met),F4.PMV,F5.PPD,Indoor Air Temperature,Indoor Relative Humidity,Indoor Air Velocity,Summer Season,Transition Season,Winter Season,Cold zone,Hot summer and cold winter zone,Hot summer and warm winter zone ,Mild zone,Severe cold zone,Female,Male
170.0,62.0,-1.0,1.1,1.0,-0.58,12.01,20.5,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
168.0,80.0,-1.0,1.83,0.9,-0.1,5.19,20.5,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
170.0,82.0,0.0,1.36,0.9,-0.66,14.14,20.5,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
178.0,65.0,0.0,1.58,0.9,-0.36,7.78,20.5,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
174.0,80.0,0.0,1.38,0.9,-0.82,19.45,20.166666666666668,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
160.0,77.0,0.0,1.27,0.9,-1.0,26.39,20.166666666666668,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
160.0,50.0,0.0,1.28,0.9,-0.99,25.67,20.166666666666668,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,75.0,-2.0,1.61,0.9,-2.26,86.95,11.533333333333333,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
165.0,65.0,-1.0,1.84,0.9,-1.84,69.47,11.533333333333333,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
166.0,56.0,-2.0,1.37,1.3,-1.05,28.28,11.533333333333333,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
163.0,60.0,0.0,1.62,1.0,0.57,11.88,22.233333333333334,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
165.0,55.0,0.0,1.21,1.0,0.17,5.58,22.233333333333334,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
155.0,45.0,0.0,1.24,1.0,0.2,5.84,22.133333333333336,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
165.0,58.0,0.0,0.98,1.0,-0.15,5.47,22.133333333333336,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
174.0,77.0,-1.0,2.06,1.0,-0.05,5.05,15.5,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
163.0,62.0,-1.0,1.62,1.0,-0.52,10.66,15.5,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
172.0,81.0,0.0,1.5,1.0,-0.06,5.08,20.233333333333334,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164.0,67.0,0.0,1.45,1.0,-0.12,5.31,20.233333333333334,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,75.0,0.0,1.62,0.9,-0.35,7.62,20.233333333333334,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
177.0,73.0,0.0,1.48,1.0,-0.1,5.23,20.166666666666668,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,62.0,0.0,1.2,1.1,-0.22,6.05,20.166666666666668,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,82.0,0.0,1.29,1.0,-0.44,9.13,18.866666666666664,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
160.0,60.0,0.0,1.63,1.0,-0.01,5.0,18.866666666666664,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
155.0,42.0,0.0,1.37,1.0,-0.33,7.27,18.866666666666664,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
161.0,60.0,-1.0,0.76,1.0,-3.32,99.86,12.433333333333332,42.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
173.0,86.0,0.0,1.99,1.0,-0.7,15.31,12.433333333333332,42.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,66.0,0.0,1.29,1.0,-0.11,5.26,20.933333333333334,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
173.0,64.0,1.0,1.47,1.0,0.1,5.21,21.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
163.0,66.0,0.0,0.88,0.9,-1.05,28.6,22.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
181.0,87.0,-1.0,0.98,1.2,0.07,5.1,21.96666666666667,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,75.0,0.0,1.56,1.0,0.33,7.33,21.866666666666664,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
173.0,75.0,0.0,1.45,1.0,0.34,7.46,22.266666666666666,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175.0,80.0,-1.0,1.21,1.0,0.02,5.01,21.933333333333334,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175.0,70.0,3.0,1.09,1.2,0.47,9.55,23.53333333333333,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
178.0,81.0,0.0,1.8,1.0,0.77,17.54,23.333333333333332,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
163.0,65.0,2.0,1.14,1.0,0.15,5.47,23.099999999999998,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
158.0,45.0,0.0,1.42,1.0,0.45,9.25,23.2,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
156.0,50.0,1.0,1.92,1.0,0.78,18.04,22.733333333333334,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
173.0,65.0,2.0,1.3,1.0,0.54,11.17,24.099999999999998,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
165.0,72.0,1.0,0.9,1.0,0.01,5.0,23.733333333333334,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
177.0,86.0,3.0,1.67,1.0,0.74,16.69,23.366666666666664,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
178.0,78.0,2.0,1.64,1.0,0.69,14.98,23.0,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,75.0,0.0,1.4,1.0,0.63,13.34,24.03333333333333,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
182.0,85.0,2.0,1.24,1.0,0.49,10.05,24.166666666666668,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
172.0,60.0,2.0,1.01,1.0,-0.51,10.44,21.133333333333333,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175.0,75.0,0.0,1.33,1.0,-0.06,5.09,21.099999999999998,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,63.0,0.0,1.0,1.0,-0.44,9.12,21.400000000000002,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
160.0,52.0,0.0,0.97,1.0,-0.46,9.54,21.5,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
174.0,65.0,0.0,1.03,1.0,-0.48,9.89,20.966666666666665,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,65.0,0.0,0.89,1.2,-0.16,5.52,21.400000000000002,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
178.0,75.0,-1.0,1.36,1.0,0.02,5.01,21.299999999999997,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
160.0,51.0,2.0,1.27,1.0,0.0,5.0,21.766666666666666,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,65.0,0.0,1.01,1.0,-0.72,16.08,20.033333333333335,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
176.0,67.0,1.0,0.83,1.0,-1.3,40.48,19.466666666666665,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,95.0,0.0,0.95,1.0,-1.06,28.78,19.4,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175.0,70.0,-2.0,1.58,1.0,-0.17,5.57,19.099999999999998,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
183.0,91.0,0.0,1.09,1.0,-0.59,12.3,20.2,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
172.0,73.0,1.0,0.91,0.9,-1.71,62.62,19.433333333333334,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
162.0,53.0,-2.0,1.39,1.0,-0.49,10.13,18.266666666666666,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
170.0,66.0,0.0,1.1,0.9,-0.19,5.74,23.933333333333334,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,63.0,1.0,1.54,1.0,0.67,14.53,23.933333333333334,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
160.0,52.0,1.0,1.53,1.0,0.66,14.3,23.933333333333334,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
165.0,70.0,-1.0,0.93,0.9,-4.0,100.0,10.799999999999999,45.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
187.0,75.0,-2.0,0.97,1.0,-3.49,99.96,10.133333333333333,43.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175.0,77.0,-3.0,1.69,1.0,-1.66,60.06,10.533333333333333,44.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,75.0,-1.0,1.45,0.9,-2.78,97.62,10.833333333333334,46.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175.0,66.0,-2.0,1.36,1.0,-2.14,82.97,11.4,46.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
172.0,69.0,0.0,0.96,1.0,-1.56,54.42,17.466666666666665,39.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175.0,70.0,0.0,1.12,0.9,-1.54,53.23,18.2,37.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
178.0,85.0,0.0,1.22,1.0,-0.93,23.47,17.533333333333335,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
176.0,65.0,-1.0,1.04,0.9,-1.81,67.85,17.933333333333334,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175.0,76.0,0.0,0.99,0.9,-1.99,76.27,17.766666666666666,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
172.0,75.0,-1.0,1.2,0.9,-3.31,99.85,11.366666666666667,42.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
160.0,54.0,0.0,1.47,1.0,-1.81,67.55,12.033333333333333,41.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
182.0,70.0,-1.0,1.13,1.2,-0.84,19.93,16.633333333333333,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175.0,80.0,-1.0,0.81,1.0,-2.23,86.05,16.900000000000002,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,55.0,1.0,0.74,1.0,-2.48,93.1,16.599999999999998,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
178.0,70.0,-2.0,0.94,0.9,-2.17,83.82,18.066666666666666,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
177.0,80.0,-1.0,1.53,1.0,-0.48,9.94,18.03333333333333,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
162.0,68.0,0.0,0.98,1.0,-1.49,50.79,17.73333333333333,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
174.0,55.0,0.0,0.71,1.0,-2.18,84.45,18.066666666666666,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,52.0,-1.0,0.89,1.0,-1.89,71.95,17.099999999999998,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,75.0,1.0,1.31,1.0,-0.98,25.22,17.366666666666667,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
183.0,70.0,0.0,0.99,0.9,-2.17,84.05,17.666666666666664,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
166.0,65.0,-1.0,0.97,0.9,-2.17,83.78,17.833333333333332,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
160.0,52.0,-1.0,1.55,1.0,-0.5,10.19,17.733333333333334,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
172.0,66.0,0.0,1.27,1.0,-0.67,14.41,18.73333333333333,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
