month,day,hour,minute,room_height,room_length,room_width,person_age,person_height,person_weight,person_cloth,person_activity,indoor_operative_temperature,indoor_mean_radiant_temp,indoor_asymmetry_temp,indoor_humidity,indoor_air_velocity,ashrae_predicted_mean_vote,ashrae_predicted_percentage_of_dissatisfied,label_thermal_sensation_vote,label_thermal_comfort_vote,label_thermal_acceptability_vote,person_gender_Female,person_gender_Male,season_Summer Season,season_Transition Season,season_Winter Season,climate_zone_Cold zone,climate_zone_Hot summer and cold winter zone,climate_zone_Severe cold zone,building_type _Educational,building_type _Office,building_type _Residential,building_function_Bedroom,building_function_Classroom,building_function_Living room,building_function_Office,building_operation_mode_Air conditioning heating,building_operation_mode_Ceiling capillary heating,building_operation_mode_Cold radiation ceiling cooling,building_operation_mode_Convection cooling,building_operation_mode_Convection heating,building_operation_mode_Naturally Ventilated,building_operation_mode_Others,building_operation_mode_Radiant floor cooling,building_operation_mode_Radiant floor heating,building_operation_mode_Radiator heating
0.0,0.9666666666666667,0.4166666666666667,0.5932203389830508,3.9,6.1,3.4,24.0,170,62,1.1,1,20.8,20.9,0.74,32,0,-0.58,12.01,2,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.9666666666666667,0.4166666666666667,0.711864406779661,3.9,6.1,3.4,45.5,168,80,1.83,0.9,20.8,20.9,0.74,32,0,-0.1,5.19,2,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.9666666666666667,0.4166666666666667,0.7627118644067796,3.9,6.1,3.4,45.5,170,82,1.36,0.9,20.8,20.9,0.74,32,0,-0.66,14.14,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.9666666666666667,0.4166666666666667,0.7966101694915254,3.9,6.1,3.4,24.0,178,65,1.58,0.9,20.8,20.9,0.74,32,0,-0.36,7.78,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.8333333333333334,0.3389830508474576,3.9,6.1,3.4,24.0,174,80,1.38,0.9,20,19.8,1.12,33,0,-0.82,19.45,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.8333333333333334,0.4067796610169492,3.9,6.1,3.4,45.5,160,77,1.27,0.9,20,19.8,1.12,33,0,-1,26.39,3,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.8333333333333334,0.4576271186440678,3.9,6.1,3.4,24.0,160,50,1.28,0.9,20,19.8,1.12,33,0,-0.99,25.67,3,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.0,0.875,0.1016949152542373,2.4,5.7,2.4,45.5,175,75,1.61,0.9,12.1,12.5,2.58,48,0,-2.26,86.95,1,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.0,0.875,0.13559322033898305,2.4,5.7,2.4,45.5,165,65,1.84,0.9,12.1,12.5,2.58,48,0,-1.84,69.47,2,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.0,0.875,0.1694915254237288,2.4,5.7,2.4,24.0,166,56,1.37,1.3,12.1,12.5,2.58,48,0,-1.05,28.28,1,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
