,Target,Y_hat,Target_Sensation,Y_hat_Sensation
0,1.0,1,Slighty warm,Slighty warm
1,2.0,0,Warm,Neutral
2,3.0,2,Hot,Warm
3,1.0,1,Slighty warm,Slighty warm
4,-1.0,0,Slighty cool,Neutral
5,1.0,1,Slighty warm,Slighty warm
6,3.0,2,Hot,Warm
7,2.0,0,Warm,Neutral
8,0.0,0,Neutral,Neutral
9,1.0,0,Slighty warm,Neutral
10,1.0,1,Slighty warm,Slighty warm
11,3.0,1,Hot,Slighty warm
12,0.0,0,Neutral,Neutral
13,1.0,2,Slighty warm,Warm
14,-1.0,0,Slighty cool,Neutral
15,2.0,1,Warm,Slighty warm
16,-1.0,0,Slighty cool,Neutral
17,2.0,1,Warm,Slighty warm
18,-1.0,0,Slighty cool,Neutral
19,0.0,2,Neutral,Warm
20,0.0,0,Neutral,Neutral
21,3.0,1,Hot,Slighty warm
22,0.0,0,Neutral,Neutral
23,0.0,0,Neutral,Neutral
24,-2.0,0,Cool,Neutral
25,0.0,0,Neutral,Neutral
26,1.0,1,Slighty warm,Slighty warm
27,2.0,1,Warm,Slighty warm
28,3.0,2,Hot,Warm
29,0.0,1,Neutral,Slighty warm
30,-1.0,0,Slighty cool,Neutral
31,-2.0,-1,Cool,Slighty cool
32,2.0,0,Warm,Neutral
33,2.0,1,Warm,Slighty warm
34,1.0,1,Slighty warm,Slighty warm
35,1.0,2,Slighty warm,Warm
36,3.0,1,Hot,Slighty warm
37,-1.0,0,Slighty cool,Neutral
38,1.0,1,Slighty warm,Slighty warm
39,3.0,3,Hot,Hot
40,-1.0,0,Slighty cool,Neutral
41,0.0,0,Neutral,Neutral
42,0.0,0,Neutral,Neutral
43,0.0,1,Neutral,Slighty warm
44,-1.0,0,Slighty cool,Neutral
45,0.0,0,Neutral,Neutral
46,3.0,1,Hot,Slighty warm
47,-1.0,1,Slighty cool,Slighty warm
48,0.0,0,Neutral,Neutral
49,1.0,0,Slighty warm,Neutral
50,3.0,1,Hot,Slighty warm
51,1.0,0,Slighty warm,Neutral
52,1.0,0,Slighty warm,Neutral
53,-1.0,-2,Slighty cool,Cool
54,0.0,0,Neutral,Neutral
55,1.0,1,Slighty warm,Slighty warm
56,0.0,0,Neutral,Neutral
57,-0.0,1,Neutral,Slighty warm
58,-1.0,0,Slighty cool,Neutral
59,1.0,0,Slighty warm,Neutral
60,-1.0,0,Slighty cool,Neutral
61,-1.0,1,Slighty cool,Slighty warm
62,0.0,0,Neutral,Neutral
63,0.0,0,Neutral,Neutral
64,1.0,1,Slighty warm,Slighty warm
65,0.0,0,Neutral,Neutral
66,0.0,-1,Neutral,Slighty cool
67,0.0,0,Neutral,Neutral
68,0.0,0,Neutral,Neutral
69,-1.0,-1,Slighty cool,Slighty cool
70,1.0,0,Slighty warm,Neutral
71,0.0,0,Neutral,Neutral
72,0.0,0,Neutral,Neutral
73,0.0,0,Neutral,Neutral
74,-1.0,0,Slighty cool,Neutral
75,0.0,0,Neutral,Neutral
76,-1.0,-1,Slighty cool,Slighty cool
77,-1.0,-1,Slighty cool,Slighty cool
78,-1.0,0,Slighty cool,Neutral
79,1.0,1,Slighty warm,Slighty warm
80,0.0,0,Neutral,Neutral
81,0.0,0,Neutral,Neutral
82,0.0,1,Neutral,Slighty warm
83,0.0,1,Neutral,Slighty warm
84,2.0,1,Warm,Slighty warm
85,-1.0,-1,Slighty cool,Slighty cool
86,0.0,0,Neutral,Neutral
87,0.0,0,Neutral,Neutral
88,3.0,1,Hot,Slighty warm
89,2.0,1,Warm,Slighty warm
90,1.0,1,Slighty warm,Slighty warm
91,3.0,1,Hot,Slighty warm
92,3.0,2,Hot,Warm
93,1.0,1,Slighty warm,Slighty warm
94,1.0,1,Slighty warm,Slighty warm
95,0.0,0,Neutral,Neutral
96,1.0,0,Slighty warm,Neutral
97,1.0,0,Slighty warm,Neutral
98,1.0,0,Slighty warm,Neutral
99,0.0,-1,Neutral,Slighty cool
100,0.0,0,Neutral,Neutral
101,2.0,1,Warm,Slighty warm
102,-2.0,0,Cool,Neutral
103,-1.0,0,Slighty cool,Neutral
104,0.0,0,Neutral,Neutral
105,0.0,1,Neutral,Slighty warm
106,0.0,0,Neutral,Neutral
107,2.0,1,Warm,Slighty warm
108,0.0,0,Neutral,Neutral
109,1.0,0,Slighty warm,Neutral
110,1.0,1,Slighty warm,Slighty warm
111,0.0,1,Neutral,Slighty warm
112,1.0,-1,Slighty warm,Slighty cool
113,0.0,0,Neutral,Neutral
114,-0.0,1,Neutral,Slighty warm
115,0.0,0,Neutral,Neutral
116,1.0,-1,Slighty warm,Slighty cool
117,0.0,1,Neutral,Slighty warm
118,3.0,0,Hot,Neutral
119,-1.0,0,Slighty cool,Neutral
120,1.0,1,Slighty warm,Slighty warm
121,-2.0,0,Cool,Neutral
122,-1.0,0,Slighty cool,Neutral
123,-1.0,0,Slighty cool,Neutral
124,0.0,1,Neutral,Slighty warm
125,-1.0,0,Slighty cool,Neutral
126,0.0,-1,Neutral,Slighty cool
127,2.0,0,Warm,Neutral
128,1.0,0,Slighty warm,Neutral
129,-2.0,0,Cool,Neutral
130,-1.0,0,Slighty cool,Neutral
131,-1.0,0,Slighty cool,Neutral
132,-1.0,0,Slighty cool,Neutral
133,2.0,1,Warm,Slighty warm
134,-3.0,-1,Cold,Slighty cool
135,0.0,0,Neutral,Neutral
136,1.0,1,Slighty warm,Slighty warm
137,-1.0,0,Slighty cool,Neutral
138,-1.0,0,Slighty cool,Neutral
139,0.0,0,Neutral,Neutral
140,-1.0,0,Slighty cool,Neutral
141,0.0,1,Neutral,Slighty warm
142,2.0,-1,Warm,Slighty cool
143,0.0,0,Neutral,Neutral
144,0.0,0,Neutral,Neutral
145,-1.0,0,Slighty cool,Neutral
146,0.0,0,Neutral,Neutral
147,0.0,0,Neutral,Neutral
148,0.0,0,Neutral,Neutral
149,1.0,1,Slighty warm,Slighty warm
150,1.0,1,Slighty warm,Slighty warm
151,0.0,0,Neutral,Neutral
152,0.0,0,Neutral,Neutral
153,0.0,0,Neutral,Neutral
154,1.0,1,Slighty warm,Slighty warm
155,-1.0,0,Slighty cool,Neutral
156,1.0,1,Slighty warm,Slighty warm
157,0.0,1,Neutral,Slighty warm
158,0.0,1,Neutral,Slighty warm
159,1.0,0,Slighty warm,Neutral
160,0.0,0,Neutral,Neutral
161,0.0,0,Neutral,Neutral
162,1.0,1,Slighty warm,Slighty warm
163,1.0,1,Slighty warm,Slighty warm
164,0.0,0,Neutral,Neutral
165,0.0,0,Neutral,Neutral
166,0.0,1,Neutral,Slighty warm
167,0.0,0,Neutral,Neutral
168,-1.0,0,Slighty cool,Neutral
169,0.0,0,Neutral,Neutral
170,-1.0,0,Slighty cool,Neutral
171,0.0,1,Neutral,Slighty warm
172,-1.0,0,Slighty cool,Neutral
173,1.0,0,Slighty warm,Neutral
174,-2.0,-1,Cool,Slighty cool
175,-1.0,-1,Slighty cool,Slighty cool
176,-1.0,0,Slighty cool,Neutral
177,0.0,0,Neutral,Neutral
178,0.0,0,Neutral,Neutral
179,0.0,0,Neutral,Neutral
180,0.0,1,Neutral,Slighty warm
181,-0.0,1,Neutral,Slighty warm
182,1.0,0,Slighty warm,Neutral
183,-2.0,-1,Cool,Slighty cool
184,1.0,0,Slighty warm,Neutral
185,0.0,0,Neutral,Neutral
186,0.0,0,Neutral,Neutral
187,0.0,0,Neutral,Neutral
188,0.0,1,Neutral,Slighty warm
189,1.0,1,Slighty warm,Slighty warm
190,2.0,2,Warm,Warm
191,1.0,0,Slighty warm,Neutral
192,0.0,-1,Neutral,Slighty cool
193,1.0,1,Slighty warm,Slighty warm
194,0.0,0,Neutral,Neutral
195,0.0,0,Neutral,Neutral
196,0.0,0,Neutral,Neutral
197,1.0,0,Slighty warm,Neutral
198,1.0,-1,Slighty warm,Slighty cool
199,-3.0,0,Cold,Neutral
200,0.0,0,Neutral,Neutral
201,0.0,0,Neutral,Neutral
202,1.0,0,Slighty warm,Neutral
203,0.0,-1,Neutral,Slighty cool
204,0.0,0,Neutral,Neutral
205,1.0,0,Slighty warm,Neutral
206,-1.0,0,Slighty cool,Neutral
207,0.0,0,Neutral,Neutral
208,-1.0,0,Slighty cool,Neutral
209,-1.0,0,Slighty cool,Neutral
210,2.0,1,Warm,Slighty warm
211,0.0,1,Neutral,Slighty warm
212,-1.0,1,Slighty cool,Slighty warm
213,1.0,0,Slighty warm,Neutral
214,0.0,1,Neutral,Slighty warm
215,1.0,1,Slighty warm,Slighty warm
216,-2.0,0,Cool,Neutral
217,0.0,0,Neutral,Neutral
218,-0.0,1,Neutral,Slighty warm
219,0.0,0,Neutral,Neutral
220,-1.0,0,Slighty cool,Neutral
221,0.0,0,Neutral,Neutral
222,-1.0,0,Slighty cool,Neutral
223,0.0,2,Neutral,Warm
224,-3.0,-1,Cold,Slighty cool
225,0.0,0,Neutral,Neutral
226,0.0,1,Neutral,Slighty warm
227,-3.0,0,Cold,Neutral
228,2.0,2,Warm,Warm
229,0.0,0,Neutral,Neutral
230,-1.0,-1,Slighty cool,Slighty cool
231,0.0,0,Neutral,Neutral
232,-1.0,0,Slighty cool,Neutral
233,0.0,1,Neutral,Slighty warm
234,-1.0,0,Slighty cool,Neutral
235,0.0,0,Neutral,Neutral
236,2.0,1,Warm,Slighty warm
237,0.0,0,Neutral,Neutral
238,1.0,0,Slighty warm,Neutral
239,1.0,1,Slighty warm,Slighty warm
240,0.0,0,Neutral,Neutral
241,0.0,0,Neutral,Neutral
242,-1.0,0,Slighty cool,Neutral
